,clog,sp1,sp2,sv,dp1,dp1a,dp1_10,dp1_10a,dp1_50,dp1_50a,dp2,dp2a,dp2_10,dp2_10a,dp2_50,dp2_50a,dp1p2
303,0,9340,9335,10000,0,0,1,1,0,0,0,0,0,0,-1,1,-5
304,0,9341,9335,10000,1,1,1,1,1,1,0,0,-1,1,-1,1,-6
305,0,9341,9336,10000,0,0,1,1,0,0,1,1,1,1,0,0,-5
306,0,9340,9334,10000,-1,1,0,0,0,0,-2,2,-1,1,-2,2,-6
307,0,9340,9335,10000,0,0,-2,2,1,1,1,1,-1,1,0,0,-5
308,0,9340,9337,10000,0,0,-1,1,-1,1,2,2,1,1,4,4,-3
309,0,9340,9337,10000,0,0,0,0,1,1,0,0,1,1,2,2,-3
310,0,9341,9335,10000,1,1,0,0,2,2,-2,2,-3,3,0,0,-6
311,0,9339,9334,10000,-2,2,-1,1,-2,2,-1,1,-1,1,-2,2,-5
312,0,9340,9334,10000,1,1,0,0,0,0,0,0,-1,1,-3,3,-6
313,0,9340,9336,10000,0,0,-1,1,-1,1,2,2,1,1,1,1,-4
314,0,9340,9336,10000,0,0,-1,1,0,0,0,0,0,0,1,1,-4
315,0,9340,9336,10000,0,0,0,0,0,0,0,0,2,2,1,1,-4
316,0,9340,9337,10000,0,0,0,0,0,0,1,1,2,2,2,2,-3
317,0,9340,9334,10000,0,0,0,0,0,0,-3,3,-3,3,-1,1,-6
318,0,9340,9335,10000,0,0,0,0,1,1,1,1,-2,2,-1,1,-5
319,0,9341,9335,10000,1,1,0,0,1,1,0,0,0,0,0,0,-6
320,0,9340,9334,10000,-1,1,1,1,1,1,-1,1,0,0,-1,1,-6
321,0,9340,9334,10000,0,0,0,0,-1,1,0,0,0,0,-2,2,-6
