clog,sp1,sp2,sv,dp1,dp1a,dp1_10,dp1_10a,dp1_50,dp1_50a,dp2,dp2a,dp2_10,dp2_10a,dp2_50,dp2_50a,dp1p2
0,6453.0,9171.0,0.0,-2.0,2.0,-8.0,8.0,-58.0,58.0,0.0,0.0,-3.0,3.0,-18.0,18.0,2718.0
0,6453.0,9171.0,0.0,0.0,0.0,-7.0,7.0,-59.0,59.0,0.0,0.0,-1.0,1.0,-18.0,18.0,2718.0
0,6453.0,9171.0,0.0,0.0,0.0,-6.0,6.0,-59.0,59.0,0.0,0.0,-3.0,3.0,-18.0,18.0,2718.0
0,6452.0,9171.0,0.0,-1.0,1.0,-5.0,5.0,-55.0,55.0,0.0,0.0,-1.0,1.0,-16.0,16.0,2719.0
0,6451.0,9170.0,0.0,-1.0,1.0,-6.0,6.0,-54.0,54.0,-1.0,1.0,-2.0,2.0,-17.0,17.0,2719.0
0,6450.0,9171.0,0.0,-1.0,1.0,-7.0,7.0,-53.0,53.0,1.0,1.0,-2.0,2.0,-15.0,15.0,2721.0
0,6449.0,9168.0,0.0,-1.0,1.0,-8.0,8.0,-51.0,51.0,-3.0,3.0,-2.0,2.0,-16.0,16.0,2719.0
0,6449.0,9168.0,0.0,0.0,0.0,-6.0,6.0,-48.0,48.0,0.0,0.0,-4.0,4.0,-18.0,18.0,2719.0
0,6449.0,9169.0,0.0,0.0,0.0,-6.0,6.0,-48.0,48.0,1.0,1.0,-2.0,2.0,-17.0,17.0,2720.0
0,6447.0,9170.0,0.0,-2.0,2.0,-6.0,6.0,-49.0,49.0,1.0,1.0,-1.0,1.0,-16.0,16.0,2723.0
0,6448.0,9168.0,0.0,1.0,1.0,-5.0,5.0,-46.0,46.0,-2.0,2.0,-3.0,3.0,-15.0,15.0,2720.0
0,6448.0,9168.0,0.0,0.0,0.0,-5.0,5.0,-43.0,43.0,0.0,0.0,-3.0,3.0,-16.0,16.0,2720.0
0,6444.0,9167.0,0.0,-4.0,4.0,-8.0,8.0,-47.0,47.0,-1.0,1.0,-4.0,4.0,-17.0,17.0,2723.0
0,6444.0,9167.0,0.0,0.0,0.0,-7.0,7.0,-44.0,44.0,0.0,0.0,-3.0,3.0,-15.0,15.0,2723.0
0,6447.0,9167.0,0.0,3.0,3.0,-3.0,3.0,-41.0,41.0,0.0,0.0,-4.0,4.0,-15.0,15.0,2720.0
0,6444.0,9166.0,0.0,-3.0,3.0,-5.0,5.0,-42.0,42.0,-1.0,1.0,-2.0,2.0,-15.0,15.0,2722.0
